,Date,Type,Price,Size
0,2016-08-18 10:09:09,TRADE,12.8,1000
1,2016-08-18 10:09:09,BID,12.8,15900
2,2016-08-18 10:09:09,ASK,12.81,2900
3,2016-08-18 10:09:09,ASK,12.81,7900
4,2016-08-18 10:09:09,BID,12.8,20900
5,2016-08-18 10:09:09,ASK,12.81,8000
6,2016-08-18 10:09:09,ASK,12.81,8400
7,2016-08-18 10:09:09,TRADE,12.8,100
8,2016-08-18 10:09:09,BID,12.8,20800
9,2016-08-18 10:09:09,TRADE,12.8,400
10,2016-08-18 10:09:09,BID,12.8,20400
11,2016-08-18 10:09:09,ASK,12.81,8300
12,2016-08-18 10:09:09,BID,12.8,22300
13,2016-08-18 10:09:09,TRADE,12.81,1100
14,2016-08-18 10:09:09,TRADE,12.81,200
15,2016-08-18 10:09:09,ASK,12.81,7000
16,2016-08-18 10:09:09,TRADE,12.81,100
17,2016-08-18 10:09:09,TRADE,12.81,1500
18,2016-08-18 10:09:09,TRADE,12.81,5000
19,2016-08-18 10:09:09,TRADE,12.81,400
20,2016-08-18 10:09:09,ASK,12.82,37600
21,2016-08-18 10:09:09,TRADE,12.82,1500
22,2016-08-18 10:09:09,TRADE,12.82,100
23,2016-08-18 10:09:09,TRADE,12.82,1200
24,2016-08-18 10:09:09,TRADE,12.82,3000
25,2016-08-18 10:09:09,TRADE,12.82,3000
26,2016-08-18 10:09:09,TRADE,12.82,1200
26,2016-08-18 10:09:09,ASK,12.82,27600
27,2016-08-18 10:09:09,TRADE,12.8,300
28,2016-08-18 10:09:09,BID,12.8,22000
29,2016-08-18 10:09:09,ASK,12.82,15100
30,2016-08-18 10:09:09,BID,12.81,5000
31,2016-08-18 10:09:09,TRADE,12.82,200
32,2016-08-18 10:09:09,ASK,12.82,14900
34,2016-08-18 10:09:09,TRADE,12.81,1600
35,2016-08-18 10:09:09,BID,12.81,3400
36,2016-08-18 10:09:09,BID,12.81,13400
37,2016-08-18 10:09:09,BID,12.81,13600
38,2016-08-18 10:09:09,TRADE,12.81,400
39,2016-08-18 10:09:09,BID,12.81,13200
40,2016-08-18 10:09:09,TRADE,12.81,300
41,2016-08-18 10:09:09,BID,12.81,12900
42,2016-08-18 10:09:09,TRADE,12.81,300
43,2016-08-18 10:09:09,BID,12.81,12600
44,2016-08-18 10:09:09,TRADE,12.81,1000
45,2016-08-18 10:09:09,BID,12.81,11600
50,2016-08-18 10:09:09,TRADE,12.82,1500
51,2016-08-18 10:09:09,ASK,12.82,13400
52,2016-08-18 10:09:09,TRADE,12.82,200
53,2016-08-18 10:09:09,ASK,12.82,13200
54,2016-08-18 10:09:09,TRADE,12.81,1400
55,2016-08-18 10:09:09,TRADE,12.81,600
56,2016-08-18 10:09:09,BID,12.81,9600
57,2016-08-18 10:09:09,BID,12.81,14600
58,2016-08-18 10:09:09,TRADE,12.82,400
59,2016-08-18 10:09:09,ASK,12.82,12800
60,2016-08-18 10:09:09,TRADE,12.82,300
61,2016-08-18 10:09:09,ASK,12.82,12500
63,2016-08-18 10:09:09,TRADE,12.82,200
64,2016-08-18 10:09:09,ASK,12.82,12300
65,2016-08-18 10:09:09,TRADE,12.82,7200
66,2016-08-18 10:09:09,TRADE,12.82,300
67,2016-08-18 10:09:09,ASK,12.82,4800
69,2016-08-18 10:09:09,BID,12.81,27100
71,2016-08-18 10:09:10,TRADE,12.82,100
72,2016-08-18 10:09:10,ASK,12.82,4700
73,2016-08-18 10:09:10,TRADE,12.82,4600
74,2016-08-18 10:09:10,TRADE,12.82,100
75,2016-08-18 10:09:10,ASK,12.83,26600
77,2016-08-18 10:09:10,TRADE,12.83,1000
78,2016-08-18 10:09:10,ASK,12.83,25600
79,2016-08-18 10:09:10,TRADE,12.81,200
80,2016-08-18 10:09:10,BID,12.81,26900
81,2016-08-18 10:09:10,BID,12.81,31200
82,2016-08-18 10:09:10,ASK,12.83,25700
83,2016-08-18 10:09:10,TRADE,12.83,300
84,2016-08-18 10:09:10,ASK,12.83,25400
85,2016-08-18 10:09:10,TRADE,12.83,100
86,2016-08-18 10:09:10,ASK,12.83,25300
87,2016-08-18 10:09:10,TRADE,12.83,3300
88,2016-08-18 10:09:10,ASK,12.83,22000
89,2016-08-18 10:09:10,TRADE,12.83,400
90,2016-08-18 10:09:10,ASK,12.83,21600
91,2016-08-18 10:09:11,TRADE,12.83,900
92,2016-08-18 10:09:11,ASK,12.83,20700
93,2016-08-18 10:09:11,BID,12.81,34100
94,2016-08-18 10:09:11,ASK,12.83,55700
95,2016-08-18 10:09:11,BID,12.81,21600
96,2016-08-18 10:09:11,BID,12.81,23600
97,2016-08-18 10:09:12,TRADE,12.81,9200
98,2016-08-18 10:09:12,TRADE,12.81,200
99,2016-08-18 10:09:12,TRADE,12.81,1500
100,2016-08-18 10:09:12,BID,12.81,12700
101,2016-08-18 10:09:12,ASK,12.82,5000
102,2016-08-18 10:09:12,ASK,12.82,5100
103,2016-08-18 10:09:12,BID,12.81,9200
105,2016-08-18 10:09:12,TRADE,12.82,100
106,2016-08-18 10:09:12,ASK,12.82,5000
107,2016-08-18 10:09:13,TRADE,12.82,200
108,2016-08-18 10:09:13,ASK,12.82,4800
109,2016-08-18 10:09:14,BID,12.81,14200
110,2016-08-18 10:09:17,TRADE,12.81,4300
111,2016-08-18 10:09:17,TRADE,12.81,2900
112,2016-08-18 10:09:17,TRADE,12.81,2000
113,2016-08-18 10:09:17,TRADE,12.81,5000
114,2016-08-18 10:09:17,BID,12.8,33800
115,2016-08-18 10:09:17,TRADE,12.8,2800
116,2016-08-18 10:09:17,TRADE,12.8,500
116,2016-08-18 10:09:17,BID,12.8,30500
117,2016-08-18 10:09:17,BID,12.8,30400
118,2016-08-18 10:09:17,BID,12.81,1000
119,2016-08-18 10:09:17,BID,12.8,17900
120,2016-08-18 10:09:17,TRADE,12.82,1200
121,2016-08-18 10:09:17,ASK,12.82,3600
122,2016-08-18 10:09:17,ASK,12.81,1300
123,2016-08-18 10:09:17,ASK,12.81,6300
124,2016-08-18 10:09:19,TRADE,12.81,300
125,2016-08-18 10:09:19,ASK,12.81,6000
126,2016-08-18 10:09:20,TRADE,12.81,1000
127,2016-08-18 10:09:20,TRADE,12.81,100
128,2016-08-18 10:09:20,ASK,12.81,4900
129,2016-08-18 10:09:20,TRADE,12.81,4900
130,2016-08-18 10:09:20,ASK,12.82,16200
131,2016-08-18 10:09:20,TRADE,12.82,3200
131,2016-08-18 10:09:20,ASK,12.82,13000
132,2016-08-18 10:09:20,ASK,12.82,12900
133,2016-08-18 10:09:20,ASK,12.82,400
134,2016-08-18 10:09:20,BID,12.8,30400
135,2016-08-18 10:09:21,BID,12.8,32800
136,2016-08-18 10:09:21,ASK,12.82,600
137,2016-08-18 10:09:22,ASK,12.81,200
138,2016-08-18 10:09:22,TRADE,12.8,1600
139,2016-08-18 10:09:22,BID,12.8,31200
140,2016-08-18 10:09:22,TRADE,12.8,700
141,2016-08-18 10:09:22,BID,12.8,30500
142,2016-08-18 10:09:22,ASK,12.81,300
143,2016-08-18 10:09:22,TRADE,12.8,9500
144,2016-08-18 10:09:22,TRADE,12.8,500
