,Date,Type,Price,Size
0,2016-08-09 10:07:18,TRADE,11.92,3000
1,2016-08-09 10:07:18,BID,11.91,39100
2,2016-08-09 10:07:18,ASK,11.92,17200
3,2016-08-09 10:07:18,ASK,11.92,22200
4,2016-08-09 10:07:18,BID,11.91,44100
5,2016-08-09 10:07:18,ASK,11.92,17200
6,2016-08-09 10:07:18,BID,11.91,46000
7,2016-08-09 10:07:18,TRADE,11.92,6700
8,2016-08-09 10:07:18,ASK,11.92,10500
9,2016-08-09 10:07:18,TRADE,11.91,600
10,2016-08-09 10:07:18,TRADE,11.91,300
11,2016-08-09 10:07:18,TRADE,11.91,100
12,2016-08-09 10:07:18,TRADE,11.91,100
13,2016-08-09 10:07:18,TRADE,11.91,1500
14,2016-08-09 10:07:18,TRADE,11.91,300
15,2016-08-09 10:07:18,TRADE,11.91,200
16,2016-08-09 10:07:18,TRADE,11.91,1000
17,2016-08-09 10:07:18,TRADE,11.91,1500
18,2016-08-09 10:07:18,BID,11.91,40400
19,2016-08-09 10:07:18,TRADE,11.92,10500
20,2016-08-09 10:07:18,ASK,11.93,5400
21,2016-08-09 10:07:18,TRADE,11.93,400
22,2016-08-09 10:07:18,TRADE,11.93,4600
23,2016-08-09 10:07:18,ASK,11.93,400
24,2016-08-09 10:07:18,BID,11.92,5000
25,2016-08-09 10:07:18,ASK,11.94,1500
26,2016-08-09 10:07:18,ASK,11.94,6500
27,2016-08-09 10:07:18,TRADE,11.94,1500
28,2016-08-09 10:07:18,TRADE,11.94,100
29,2016-08-09 10:07:18,ASK,11.94,4900
30,2016-08-09 10:07:19,TRADE,11.94,1000
31,2016-08-09 10:07:19,ASK,11.94,3900
32,2016-08-09 10:07:19,TRADE,11.92,200
33,2016-08-09 10:07:19,BID,11.92,4800
34,2016-08-09 10:07:19,TRADE,11.92,4800
35,2016-08-09 10:07:19,BID,11.91,41700
36,2016-08-09 10:07:19,BID,11.91,46700
37,2016-08-09 10:07:19,BID,11.92,5000
38,2016-08-09 10:07:19,BID,11.91,46700
39,2016-08-09 10:07:19,BID,11.92,5000
40,2016-08-09 10:07:19,TRADE,11.94,2800
41,2016-08-09 10:07:19,ASK,11.94,1100
42,2016-08-09 10:07:19,ASK,11.94,1200
43,2016-08-09 10:07:19,TRADE,11.92,5000
44,2016-08-09 10:07:19,BID,11.91,46700
45,2016-08-09 10:07:19,TRADE,11.91,600
46,2016-08-09 10:07:19,TRADE,11.91,2100
47,2016-08-09 10:07:19,TRADE,11.91,300
47,2016-08-09 10:07:19,BID,11.91,43700
48,2016-08-09 10:07:19,BID,11.91,38700
49,2016-08-09 10:07:20,ASK,11.94,6200
50,2016-08-09 10:07:21,ASK,11.94,1200
51,2016-08-09 10:07:21,BID,11.91,43700
52,2016-08-09 10:07:22,TRADE,11.94,1100
53,2016-08-09 10:07:22,TRADE,11.94,100
54,2016-08-09 10:07:22,ASK,11.95,5600
55,2016-08-09 10:07:22,TRADE,11.95,100
56,2016-08-09 10:07:22,TRADE,11.95,100
57,2016-08-09 10:07:22,TRADE,11.95,300
58,2016-08-09 10:07:22,TRADE,11.95,100
59,2016-08-09 10:07:22,TRADE,11.95,2200
59,2016-08-09 10:07:22,ASK,11.95,2800
60,2016-08-09 10:07:22,ASK,11.96,22000
61,2016-08-09 10:07:22,ASK,11.96,17000
