,Date,Type,Price,Size
0,2016-08-08 10:09:08,TRADE,11.79,400
1,2016-08-08 10:09:08,BID,11.78,1400
2,2016-08-08 10:09:08,ASK,11.79,3200
3,2016-08-08 10:09:08,BID,11.78,1500
4,2016-08-08 10:09:08,TRADE,11.79,200
5,2016-08-08 10:09:08,ASK,11.79,3000
6,2016-08-08 10:09:08,TRADE,11.78,500
7,2016-08-08 10:09:08,BID,11.78,1000
8,2016-08-08 10:09:08,TRADE,11.78,100
9,2016-08-08 10:09:08,BID,11.78,900
10,2016-08-08 10:09:08,TRADE,11.78,400
11,2016-08-08 10:09:08,TRADE,11.78,100
12,2016-08-08 10:09:08,BID,11.78,400
13,2016-08-08 10:09:08,TRADE,11.78,300
14,2016-08-08 10:09:08,TRADE,11.78,100
15,2016-08-08 10:09:08,BID,11.77,300
16,2016-08-08 10:09:08,ASK,11.78,100
17,2016-08-08 10:09:08,TRADE,11.78,100
18,2016-08-08 10:09:08,ASK,11.79,3000
19,2016-08-08 10:09:08,ASK,11.78,400
20,2016-08-08 10:09:08,ASK,11.78,500
21,2016-08-08 10:09:08,TRADE,11.77,100
22,2016-08-08 10:09:08,TRADE,11.77,100
23,2016-08-08 10:09:08,TRADE,11.77,100
24,2016-08-08 10:09:08,BID,11.76,3300
25,2016-08-08 10:09:08,ASK,11.77,300
26,2016-08-08 10:09:08,ASK,11.77,1500
27,2016-08-08 10:09:08,ASK,11.77,2700
28,2016-08-08 10:09:08,TRADE,11.76,300
29,2016-08-08 10:09:08,BID,11.76,3000
30,2016-08-08 10:09:09,TRADE,11.77,200
31,2016-08-08 10:09:09,ASK,11.77,2500
32,2016-08-08 10:09:09,TRADE,11.77,100
33,2016-08-08 10:09:09,TRADE,11.77,1200
34,2016-08-08 10:09:09,TRADE,11.77,1200
35,2016-08-08 10:09:09,ASK,11.78,500
36,2016-08-08 10:09:09,TRADE,11.78,400
37,2016-08-08 10:09:09,TRADE,11.78,100
38,2016-08-08 10:09:09,ASK,11.8,69600
39,2016-08-08 10:09:09,TRADE,11.8,2500
40,2016-08-08 10:09:09,TRADE,11.8,300
